"","GO1903311_regulation_of_mRNA_metabolic_process"
"net_charge",NA
"WF_complexity",-2.03381968537501
"KL_hydropathy",NA
"isoelectric_point",NA
"FCR",NA
"ED_ratio",-1.44281756605361
"RK_ratio",NA
"SCD",NA
"kappa.",NA
"omega.",NA
"id.REP_Q2.Q.2.2.",NA
"id.REP_N2.N.2.2.",NA
"id.REP_S2.S.2.2.",NA
"id.REP_G2.G.2.2.",1.42348721280886
"id.REP_E2.E.2.2.",NA
"id.REP_D2.D.2.2.",NA
"id.REP_K2.K.2.2.",NA
"id.REP_R2.R.2.2.",-4.55341554311086
"id.REP_P2.P.2.2.",1.42872090485525
"id.REP_QN2..QN..2..",0.679607224971899
"id.REP_RG2..RG..2..",NA
"id.REP_PR..PR..2..",NA
"id.REP_FG2..FG..2..",NA
"id.REP_SG2..SG..2..",-2.61946472724889
"id.REP_SR2..SR..2..",5.90313687290355
"id.REP_KAP2..KAP..2..",NA
"id.REP_PTS2..PTS..2..",NA
"CLV_C14_Caspase3.7",NA
"DEG_APCC_KENBOX_2",NA
"DEG_Kelch_Keap1_1",NA
"DEG_SCF_TRCP1_1",NA
"DOC_ANK_TNKS_1",NA
"DOC_CYCLIN_RxL_1",NA
"DOC_MAPK_gen_1",NA
"DOC_MAPK_JIP1_4",NA
"DOC_MAPK_MEF2A_6",-1.42002506327041
"DOC_MAPK_NFAT4_5",NA
"DOC_PP1_RVXF_1",NA
"DOC_PP2A_B56_1",NA
"DOC_PP4_FxxP_1",NA
"DOC_WW_Pin1_4",NA
"LIG_14.3.3_CanoR_1",NA
"LIG_CaM_IQ_9",NA
"LIG_CtBP_PxDLS_1",NA
"LIG_EF_ALG2_ABM_1",NA
"LIG_EH_1",NA
"LIG_HCF.1_HBM_1",NA
"LIG_HOMEOBOX",NA
"LIG_KEPE_2",NA
"LIG_KLC1_WD_1",NA
"LIG_LIR_Gen_1",NA
"LIG_PAM2_1",NA
"LIG_PCNA_PIPBox_1",NA
"LIG_PDZ_Class_1",NA
"LIG_PDZ_Wminus1_1",NA
"LIG_PTAP_UEV_1",NA
"LIG_PTB_Apo_2",NA
"LIG_PTB_Phospho_1",NA
"LIG_Rb_LxCxE_1",NA
"LIG_SH2_CRK",NA
"LIG_SH2_GRB2like",3.10029855779315
"LIG_SH2_NCK_1",NA
"LIG_SH2_SRC",NA
"LIG_SH2_STAP1",NA
"LIG_SH2_STAT5",NA
"LIG_SH3_2",NA
"LIG_SUMO_SIM_anti_2",NA
"LIG_SUMO_SIM_par_1",NA
"MOD_CDK_SPK_2",NA
"MOD_CDK_SPxK_1",NA
"MOD_CDK_SPxxK_3",NA
"MOD_CK1_1",NA
"MOD_CK2_1",NA
"MOD_DYRK1A_RPxSP_1",NA
"MOD_GSK3_1",NA
"MOD_N.GLC_1",NA
"MOD_NMyristoyl",NA
"MOD_PIKK_1",NA
"MOD_PKA_1",-1.41142573125212
"MOD_PKA_2",-1.77541151974129
"MOD_PKB_1",NA
"MOD_Plk_1",NA
"MOD_ProDKin_1",NA
"MOD_SUMO_for_1",NA
"MOD_SUMO_rev_2",NA
"TRG_ER_diArg_1",NA
"TRG_ER_FFAT_1",NA
"TRG_LysEnd_APsAcLL_1",NA
"TRG_NES_CRM1_1",NA
"TRG_NLS_MonoExtN_4",NA
"A_homorep",NA
"C_homorep",NA
"D_homorep",-2.66311747187229
"E_homorep",NA
"G_homorep",0.965726613272457
"H_homorep",NA
"I_homorep",NA
"K_homorep",NA
"L_homorep",NA
"M_homorep",NA
"N_homorep",NA
"P_homorep",NA
"Q_homorep",1.04250342662726
"R_homorep",NA
"S_homorep",NA
"T_homorep",NA
"V_homorep",NA
"Y_homorep",NA
"FG_rich",NA
"PY",NA
"FRG",1.97162085088149
"SGFYSG",NA
"PG_rich",NA
"ELASTIN_LIKE",NA
"FGxF",NA
"R_plus_Y",NA
"REP_RGG",2.01984283705893
"AA_S",NA
"AA_P",NA
"AA_T",NA
"AA_A",NA
"AA_H",NA
"AA_Q",NA
"AA_N",NA
"AA_G",NA
"AA_R",NA
"AA_C",-0.368233203853603
"AA_D",NA
"AA_E",NA
"AA_F",NA
"AA_I",NA
"AA_K",-0.571073946262754
"AA_L",-1.25933388007676
"AA_M",1.81190749899074
"AA_V",-1.5728347859998
"AA_W",NA
"AA_Y",NA
"acidic",NA
"basic",NA
"aliphatic",NA
"polar_fraction",NA
"chain_expanding",NA
"aromatic",NA
"disorder_promoting",NA
