"","GO0045944_positive_regulation_of_transcription_by_RNA_polymerase_II"
"net_charge",NA
"WF_complexity",NA
"KL_hydropathy",NA
"isoelectric_point",NA
"FCR",NA
"ED_ratio",-1.31836134537885
"RK_ratio",NA
"SCD",NA
"kappa.",3.30298104125427
"omega.",NA
"id.REP_Q2.Q.2.2.",NA
"id.REP_N2.N.2.2.",NA
"id.REP_S2.S.2.2.",NA
"id.REP_G2.G.2.2.",NA
"id.REP_E2.E.2.2.",NA
"id.REP_D2.D.2.2.",NA
"id.REP_K2.K.2.2.",NA
"id.REP_R2.R.2.2.",NA
"id.REP_P2.P.2.2.",NA
"id.REP_QN2..QN..2..",2.45414826647942
"id.REP_RG2..RG..2..",NA
"id.REP_PR..PR..2..",NA
"id.REP_FG2..FG..2..",NA
"id.REP_SG2..SG..2..",NA
"id.REP_SR2..SR..2..",NA
"id.REP_KAP2..KAP..2..",-1.73876454849536
"id.REP_PTS2..PTS..2..",NA
"CLV_C14_Caspase3.7",NA
"DEG_APCC_KENBOX_2",NA
"DEG_Kelch_Keap1_1",NA
"DEG_SCF_TRCP1_1",NA
"DOC_ANK_TNKS_1",NA
"DOC_CYCLIN_RxL_1",NA
"DOC_MAPK_gen_1",NA
"DOC_MAPK_JIP1_4",NA
"DOC_MAPK_MEF2A_6",NA
"DOC_MAPK_NFAT4_5",NA
"DOC_PP1_RVXF_1",NA
"DOC_PP2A_B56_1",NA
"DOC_PP4_FxxP_1",NA
"DOC_WW_Pin1_4",NA
"LIG_14.3.3_CanoR_1",-2.00277427608083
"LIG_CaM_IQ_9",NA
"LIG_CtBP_PxDLS_1",NA
"LIG_EF_ALG2_ABM_1",NA
"LIG_EH_1",NA
"LIG_HCF.1_HBM_1",NA
"LIG_HOMEOBOX",NA
"LIG_KEPE_2",NA
"LIG_KLC1_WD_1",NA
"LIG_LIR_Gen_1",NA
"LIG_PAM2_1",NA
"LIG_PCNA_PIPBox_1",NA
"LIG_PDZ_Class_1",NA
"LIG_PDZ_Wminus1_1",NA
"LIG_PTAP_UEV_1",NA
"LIG_PTB_Apo_2",NA
"LIG_PTB_Phospho_1",NA
"LIG_Rb_LxCxE_1",NA
"LIG_SH2_CRK",NA
"LIG_SH2_GRB2like",NA
"LIG_SH2_NCK_1",NA
"LIG_SH2_SRC",NA
"LIG_SH2_STAP1",-3.61159164158437
"LIG_SH2_STAT5",NA
"LIG_SH3_2",NA
"LIG_SUMO_SIM_anti_2",NA
"LIG_SUMO_SIM_par_1",NA
"MOD_CDK_SPK_2",NA
"MOD_CDK_SPxK_1",NA
"MOD_CDK_SPxxK_3",NA
"MOD_CK1_1",NA
"MOD_CK2_1",NA
"MOD_DYRK1A_RPxSP_1",NA
"MOD_GSK3_1",NA
"MOD_N.GLC_1",NA
"MOD_NMyristoyl",NA
"MOD_PIKK_1",NA
"MOD_PKA_1",NA
"MOD_PKA_2",0.282366555032266
"MOD_PKB_1",NA
"MOD_Plk_1",NA
"MOD_ProDKin_1",5.37352332125016
"MOD_SUMO_for_1",3.5634638365047
"MOD_SUMO_rev_2",NA
"TRG_ER_diArg_1",NA
"TRG_ER_FFAT_1",NA
"TRG_LysEnd_APsAcLL_1",NA
"TRG_NES_CRM1_1",NA
"TRG_NLS_MonoExtN_4",2.90621731294236
"A_homorep",3.39805144292368
"C_homorep",NA
"D_homorep",NA
"E_homorep",NA
"G_homorep",1.12154484783291
"H_homorep",NA
"I_homorep",NA
"K_homorep",NA
"L_homorep",NA
"M_homorep",NA
"N_homorep",NA
"P_homorep",1.11753610220074
"Q_homorep",0.487558230821552
"R_homorep",NA
"S_homorep",0.923433957896518
"T_homorep",NA
"V_homorep",NA
"Y_homorep",NA
"FG_rich",NA
"PY",NA
"FRG",NA
"SGFYSG",NA
"PG_rich",NA
"ELASTIN_LIKE",NA
"FGxF",NA
"R_plus_Y",NA
"REP_RGG",NA
"AA_S",NA
"AA_P",NA
"AA_T",NA
"AA_A",-1.98288928348433
"AA_H",1.96914034568164
"AA_Q",NA
"AA_N",1.94920734510323
"AA_G",NA
"AA_R",NA
"AA_C",NA
"AA_D",NA
"AA_E",NA
"AA_F",NA
"AA_I",NA
"AA_K",NA
"AA_L",NA
"AA_M",5.2931372326258
"AA_V",NA
"AA_W",NA
"AA_Y",NA
"acidic",NA
"basic",-2.02946261910726
"aliphatic",NA
"polar_fraction",-1.00554738464836
"chain_expanding",NA
"aromatic",NA
"disorder_promoting",NA
